tree_number,lambda.sim,mu_0.sim,beta.sim,time_decline,time80,final_rich80,time50,time20,time_s20,ntip80,ntip50,ntip20,ntip_s20,mu_f.sim.80,mu_f.sim.50,mu_f.sim.20,mu_f.sim.s20,lambda.fit.80,mu_f.fit.80,beta.fit.80,lambda.fit.50,mu_f.fit.50,beta.fit.50,lambda.fit.20,mu_f.fit.20,beta.fit.20,lambda.fit.s20,mu_f.fit.s20,beta.fit.s20,cga.80,cga.50,cga.20,cga.s20,gamma.80,gamma.50,gamma.20,gamma.s20,decline.length.80,decline.length.50,decline.length.20,gamma.orig.80,gamma.orig.50,gamma.orig.20,gamma.orig.s20
968,6.272463017,7.136343434,0.888646439,2.376109725,5.376109725,29.8544394,4.176109725,3.376109725,1.6,68,71,106,55,7.07627436577416,6.96185285283234,6.78110545961574,5.41455038413531,6.26701013942834,6.11541567803167,728.132061752306,5.04426749684551,4.70200473199407,101.017567833441,3.52815489501234,2.96782356273278,4.77628997527465,4.98153828792293,3.81254787787366,14.479655619629,4.93317182177,3.73317182219,3.261060687884,1.48495096318,0.501527440347346,0.397378849108101,0.272022674916325,0.238874993536689,2.99999999854372,1.79999999854372,0.99999999854372,7.05711663056729,5.71728603375107,4.80487843015965,3.01209905936165
969,7.57119259,8.099101889,0.974903097,2.800877317,6.900877317,107.560179,5.100877317,3.900877317,1.9,36,199,173,184,8.08940483829494,8.04302928433572,7.91845737676415,6.82856787782938,7.93025316670745,7.9701702951552,109.584618450855,6.91074787154821,6.55778835489177,1317.81154328327,7.87639568975755,7.52428144325443,1790.78869416174,7.34788537637575,5.73736691778333,172.972506135288,6.541057395867,4.741057395157,3.541057394857,1.540180078507,0.632728960247942,0.429507576132963,0.461475560397558,0.246202644667236,4.10000000082214,2.30000000082214,1.10000000082214,6.39024925866879,10.4415403055185,10.452192230776,5.75292927678267
970,5.006061004,6.666177718,0.493302731,2.818064129,5.218064129,47.4794595,4.318064129,3.718064129,2.1,95,169,237,344,6.15805822949658,5.87407657346278,5.6012409218872,4.30039031900575,6.14830351357011,5.98786093690229,1373.53340300729,4.10683477105907,3.7588104292995,809.627558287354,3.98597471176866,3.54262035455366,1515.83494156528,4.7777227624493,3.17886992752316,2104.88812799438,4.84923278777,4.209237670191,3.609237670421,1.991173540891,0.50740118681455,0.382828635397985,0.326468338339313,0.180611975707575,2.40000000123257,1.50000000123257,0.900000001232574,8.47527073681113,8.56886455747915,8.66833380969566,5.78522459365128
971,4.654870927,6.011484433,0.451122295,3.299948162,6.199948162,68.87074136,5.099948162,4.399948162,2.4,17,65,121,139,5.64480347447565,5.40920189245861,5.18555257136384,3.97550254272314,2.25528735281162,2.23728971651719,64.2406665002114,3.13152061866679,2.96830855339926,10.8424864228616,3.5051001073913,3.11564756192451,1275.7709623929,2.29057749978529,138.733178778948,-0.0036151521714105,5.647685819,4.9820903784,4.28209037784,2.28214221662,0.488079714584784,0.435902574611265,0.339941348089209,0.104768029181974,2.90000000350633,1.80000000350633,1.10000000350633,3.27413826075082,5.99266963134677,6.4230026381929,2.1239763922406
972,8.084130598,9.970190292,0.780944452,2.132174485,4.032174485,112.2680676,3.332174485,2.832174485,1.6,54,89,119,146,9.54247804230688,9.23132784321335,8.87838919066939,7.11228612615445,5.22134801276154,5.04689959081398,66.3234621649978,8.86539856658816,8.56986527165167,254.595319178986,6.62655619248726,5.86142923296408,1925.51563747969,6.84327714621688,4.49203872633789,44.2784028850594,4.02134297979,3.3213429802,2.82134298018,1.589168494734,0.467806270205073,0.483052582366196,0.342140842811725,0.185354661614879,1.89999999914152,1.19999999914152,0.699999999141518,5.8428984421378,7.80395329966165,6.41000663558869,3.85252429604048
973,7.182431869,7.514561974,0.807812766,3.861131407,10.06113141,403.1758359,7.161131407,5.561131407,2.7,519,994,1605,1737,7.51234290526265,7.4914640060987,7.43044191353597,6.66603358210309,5.9005708624001,5.78915285692031,122.793713287041,6.83106835810039,6.6341230945202,990.081776866784,6.80515942777939,6.49371779018173,1207.7334504119,6.35494144611775,4.9406321781798,1962.36451704475,9.76146548153,6.861465479104,5.26146547836,2.40033407161,0.562218991282122,0.518567152634164,0.467102295126436,0.245079105087581,6.20000000654463,3.30000000354463,1.70000000354463,22.1417228584296,28.2892521988533,32.3921212754963,17.6814001465242
974,6.949537694,7.815572829,0.811016351,2.712581634,5.712581634,100.5138325,4.512581634,3.712581634,1.9,188,426,701,674,7.73956195361427,7.61441374686569,7.43070147644893,6.14162100455973,5.41999730322319,5.26627334148004,345.291432400751,6.10402039668091,5.80104793528286,186.222567563182,6.4835645409687,5.94244441239921,1563.23994714656,6.68587103416429,4.83782663928053,430.885353012497,5.576033680811,4.376033681111,3.6877476614,1.87516602721,0.497616022394034,0.453050612858528,0.385730304287511,0.211683962535737,2.99999999889456,1.79999999889456,0.999999998894559,11.7546974356952,16.1580994902313,17.6637526718732,9.50458634500104
975,2.252717366,2.410019792,0.352090515,7.751472654,20.85147265,35.49374985,14.85147265,11.25147265,5.3,46,152,212,138,2.40845807712702,2.39710559065822,2.36414785943586,2.03711970913626,2.12781770005577,2.12807597251802,108.051323097878,2.12263929432328,2.03792597064675,443.873422986367,2.28783001925417,2.11550430052808,531.012478867047,2.6745320464661,1.99439301305128,591.824443872502,20.61574025,14.6157402529,11.0157402526,5.06426759747,0.607311484041705,0.476988045793288,0.38809505549359,0.224455129376231,13.0999999748706,7.09999997487056,3.49999997487056,6.97747773207911,10.1184444517606,9.74110858281031,4.5337713751519
976,5.275744953,7.156659348,0.370327028,3.608392476,6.108392476,347.1174718,5.208392476,4.508392476,2.8,165,522,827,673,6.41142722222299,6.11664470351348,5.80887271762286,4.61929058964296,3.27431623765469,3.11895888586143,581.109540109353,3.76954335571824,3.41742998738633,1108.56035934623,4.8819030799579,4.35035380553034,1248.14842589716,4.43383787973313,2.96479751165204,781.394620578771,5.99725643079,5.09725643124,4.3972564315,2.68886395518,0.408502450581951,0.359193796355127,0.345119040514513,0.180650912562654,2.49999999952815,1.59999999952815,0.899999999528146,9.03335537285474,14.1870182212618,17.1694554809115,8.10516848672289
977,6.33010113,7.496934487,0.671607173,2.769774847,5.469774847,97.9051787,4.469774847,3.669774847,2,26,92,123,192,7.30661399350571,7.12440483700177,6.85940382676483,5.54019442292501,2.94578541172797,2.95457483802815,6.06848528740269,5.04607051137256,4.79322427589023,90.3129894518144,5.15131059945205,4.73928676350817,474.506465818152,6.36786300538817,4.58443265446816,1842.42998882539,5.3422758108,4.34227581077,3.542275810594,1.87250096286,0.520137066130372,0.449222250943923,0.370779177782004,0.201656691708977,2.69999999995436,1.69999999995436,0.899999999954359,4.41350935928714,7.38147480525698,7.0642921173775,4.81448752696227
