tree_number,lambda.sim,mu_0.sim,beta.sim,time_decline,time80,final_rich80,time50,time20,time_s20,ntip80,ntip50,ntip20,ntip_s20,mu_f.sim.80,mu_f.sim.50,mu_f.sim.20,mu_f.sim.s20,lambda.fit.80,mu_f.fit.80,beta.fit.80,lambda.fit.50,mu_f.fit.50,beta.fit.50,lambda.fit.20,mu_f.fit.20,beta.fit.20,lambda.fit.s20,mu_f.fit.s20,beta.fit.s20
1529,7.183627241,8.495388252,0.731763119,2.552947658,5.052947658,128.8411341,4.052947658,3.352947658,1.9,246,778,1155,1055,8.28483933765991,8.05771128619094,7.76489842823284,6.38013714625829,5.08442748445611,4.90832752508834,1292.18932815349,5.88326451966019,5.46673697113641,1468.06243445832,6.63311866415419,6.02228600801345,1677.48216524251,6.61413269622288,4.56559665835566,297.616160688505
1530,3.683329119,4.642930906,0.279186044,5.647068489,9.847068489,475.6698701,8.247068489,7.147068489,4.4,150,374,515,513,4.34587005297907,4.17858271588442,4.01165732941258,3.28368884813376,3.26677319854629,3.19901622367527,38.8381037907181,3.46332593546711,3.27927925915931,323.608523040336,3.38907819302631,3.09690019996745,906.405955563802,3.39517833092094,2.49114688221229,26.7900385844805
1531,3.425299237,3.870154459,0.519015353,4.168086359,9.668086359,23.01112352,7.368086359,5.868086359,2.9,18,114,119,91,3.84453980927577,3.78564193346488,3.68606482430704,3.01103741104833,1.82617346990594,1.83873631008392,105.850129714222,2.99506662128203,2.80826031501574,846.90904498167,2.98621913230825,2.72587587668433,85.5964300450107,3.51419046572307,2.72081161619892,457.130951942924
1532,2.477117743,4.152844665,0.169739198,5.346711404,9.146711404,55.95810293,7.846711404,6.746711404,4.1,38,86,134,122,3.27366138836149,3.05659050416391,2.83154984768794,2.0821940822805,1.18772500227109,1.06841618746979,18.7128408799387,1.81943229961102,1.60020291844427,705.604463088922,2.31776263657162,1.98995210686143,797.61110925533,1.83072771399597,0.916708836351644,1182.01297431578
1533,6.147326822,7.115711775,0.614149674,3.247467095,6.347467095,191.5706658,5.147467095,4.247467095,2.4,202,657,832,875,6.97143035513125,6.81421922506824,6.59171789102411,5.48609309697417,3.75270615608025,3.59988101949315,311.84329488236,5.51551486480938,5.20919592749244,1266.8659043093,5.55878729555479,5.13387504656121,568.532069590915,5.38932641702894,3.92202303916,119.118820994448
1534,3.139407179,4.962917154,0.273368155,3.662571826,6.662571826,24.43456704,5.562572,4.762572,2.7,124,285,528,444,4.15986953376734,3.87815184443683,3.6129798052432,2.59052288510089,2.31326956087797,2.17071537741234,72.7091163259535,2.08190771449767,1.77395806070265,170.395250307322,2.64798993453006,2.16389773192088,1039.03329221987,2.59829373757932,1.1780943346307,302.338318223561
1535,6.938228844,8.911580336,0.983293347,1.533233429,3.233233429,11.25785927,2.633233429,2.133233429,1,20,51,54,30,8.54069611124232,8.24252554310466,7.81767151712614,5.57796218722063,5.93170255359796,5.93448226563918,1518.90869330333,7.58261165053,7.21601551158891,222.752365826402,7.25910360966273,6.63834991504298,184.187283125492,4.46037241507606,264.96176544577,0.0121209701985416
1536,4.373772547,4.544205787,0.93514294,3.510976174,14.11097617,11.81407504,8.710976174,5.810976174,2.1,16,59,310,323,4.54419734192202,4.54288846567257,4.52436946099749,3.90654397153275,2.86677213777504,2.94400038287109,491.682560336054,3.19257462547163,3.13352056314348,68.7753001278302,3.39325525318259,3.0588843536171,354.806433656797,3.66111567042287,1.77429887119581,1709.04906793024
1537,5.29435692,7.265209197,0.569304309,2.291623292,4.491623292,23.89829114,3.691623292,3.091623292,1.6,34,140,267,288,6.7019432585346,6.37701063537317,6.01536033969227,4.34337900683778,5.94168771853616,5.90774254803449,1503.81211989987,4.0644814238485,3.69386156144383,1594.05843324062,4.10840844751863,3.47868134568213,121.235322855289,3.41766954235664,9.51803891643128,-0.0477254721338608
1538,3.349804054,3.634359671,0.578785228,4.401044412,11.80104441,18.65037507,8.401044412,6.401044412,2.9,30,119,167,162,3.63043250503032,3.60625915855981,3.54493842826143,2.95597732800338,3.31507776616861,3.33867341052108,48.7087259378163,4.04931878297238,3.94873510629839,810.884074152038,2.57033461544618,2.30952875079722,22.0935362670883,2.6293734801183,1.55662948980582,1367.37659149741
1539,3.969380728,4.329369194,0.606249761,4.102443074,10.20244307,31.85405223,7.502443074,5.802443074,2.8,25,98,144,168,4.3204522930874,4.28354451415752,4.2009310523008,3.53648450742601,3.52986618316732,3.57062633668957,65.6658160126772,2.91034671445308,2.81331513021428,4.93130818951029,3.69177782401609,3.44843108993999,191.88242171918,2.10999620587164,112.847759213958,-0.00532350978332926
1540,8.071155377,9.825757621,0.793475242,2.171164247,4.171164247,115.9243909,3.471164247,2.871164247,1.6,24,104,150,238,9.46685647723662,9.2003024524188,8.81892486287449,7.065160846132,8.61416897112002,8.70053769394143,1668.79016468756,7.53853115327992,7.29929332547941,1913.26299563371,5.29287146534358,4.73102037990208,496.799454728346,6.81199757508244,4.57960536532316,657.117373954135
1541,2.647828186,4.444790287,0.200393775,4.519277952,7.919277952,32.54802836,6.719277952,5.719277952,3.4,70,154,227,249,3.53563677206793,3.2884833930067,3.03191761298451,2.19599677991683,0.785975874258387,69.6452945413147,-0.00169995890833868,2.31833036194197,2.10950851748747,148.679473942034,2.52817277391722,2.15548608935168,989.824035214124,2.57405645111514,1.55600995810607,131.890135106599
